TStamp	X	Y	Z
1613754844381	-0.129501	-0.001083	9.841980
1613754844383	-0.139069	0.006104	9.839584
1613754844386	-0.112747	-0.015442	9.832397
1613754844388	-0.117538	-0.015442	9.846756
1613754844390	-0.112747	-0.010651	9.834793
1613754844393	-0.117538	-0.015442	9.825226
1613754844395	-0.107971	-0.017822	9.813263
1613754844398	-0.124710	-0.017822	9.853943
1613754844400	-0.129501	-0.010651	9.815659
1613754844402	-0.122314	0.015671	9.822830
1613754844405	-0.112747	-0.034576	9.849152
1613754844407	-0.119934	-0.029785	9.844376
1613754844410	-0.141464	-0.020218	9.834793
1613754844412	-0.119934	-0.027405	9.832397
1613754844414	-0.107971	-0.005859	9.834793
1613754844417	-0.115143	-0.008255	9.830017
1613754844419	-0.117538	-0.013046	9.834793
1613754844421	-0.122314	-0.025009	9.853943
1613754844424	-0.117538	-0.013046	9.853943
1613754844426	-0.129501	-0.008255	9.820435
1613754844429	-0.117538	0.008499	9.841980
1613754844431	-0.136673	-0.008255	9.827621
1613754844433	-0.117538	-0.008255	9.834793
1613754844436	-0.134293	0.003708	9.815659
1613754844438	-0.124710	-0.005859	9.839584
1613754844440	-0.122314	0.008499	9.839584
1613754844443	-0.117538	-0.005859	9.830017
1613754844445	-0.127106	-0.001083	9.853943
1613754844448	-0.119934	0.006104	9.844376
1613754844450	-0.131897	0.006104	9.837189
1613754844452	-0.129501	-0.015442	9.834793
1613754844455	-0.124710	-0.015442	9.853943
1613754844457	-0.131897	-0.015442	9.832397
1613754844459	-0.129501	-0.017822	9.846756
1613754844462	-0.122314	-0.008255	9.830017
1613754844464	-0.107971	-0.005859	9.830017
1613754844467	-0.110352	0.006104	9.832397
1613754844469	-0.131897	0.003708	9.837189
1613754844471	-0.117538	0.001312	9.832397
1613754844474	-0.103180	0.013275	9.844376
1613754844476	-0.117538	-0.013046	9.827621
1613754844478	-0.143860	-0.005859	9.834793
1613754844481	-0.131897	0.008499	9.830017
1613754844483	-0.129501	-0.008255	9.825226
1613754844486	-0.117538	-0.008255	9.841980
1613754844488	-0.134293	-0.013046	9.837189
1613754844490	-0.127106	-0.008255	9.820435
1613754844493	-0.115143	-0.027405	9.827621
1613754844495	-0.115143	-0.001083	9.844376
1613754844498	-0.115143	-0.013046	9.863510
1613754844500	-0.124710	-0.001083	9.841980
1613754844502	-0.124710	0.003708	9.827621
1613754844505	-0.115143	-0.020218	9.846756
1613754844507	-0.129501	-0.015442	9.837189
1613754844509	-0.129501	0.001312	9.837189
1613754844512	-0.119934	-0.008255	9.846756
1613754844517	-0.134293	-0.029785	9.839584
1613754844514	-0.119934	-0.022614	9.846756
1613754844519	-0.110352	-0.008255	9.839584
1613754844521	-0.129501	-0.022614	9.839584
1613754844524	-0.117538	-0.008255	9.830017
1613754844526	-0.122314	-0.013046	9.841980
1613754844528	-0.107971	-0.001083	9.834793
1613754844531	-0.131897	-0.020218	9.830017
1613754844533	-0.127106	-0.029785	9.830017
1613754844536	-0.117538	-0.013046	9.820435
1613754844538	-0.117538	-0.001083	9.839584
1613754844540	-0.124710	-0.005859	9.827621
1613754844543	-0.131897	-0.015442	9.808472
1613754844545	-0.112747	0.013275	9.825226
1613754844547	-0.129501	0.003708	9.841980
1613754844550	-0.122314	-0.025009	9.832397
1613754844552	-0.110352	0.020462	9.813263
1613754844555	-0.129501	-0.003464	9.837189
1613754844557	-0.131897	0.015671	9.853943
1613754844559	-0.124710	-0.003464	9.841980
1613754844562	-0.127106	-0.001083	9.825226
1613754844564	-0.112747	-0.001083	9.844376
1613754844566	-0.117538	-0.020218	9.844376
1613754844569	-0.124710	-0.003464	9.818054
1613754844571	-0.151031	0.006104	9.825226
1613754844574	-0.127106	-0.003464	9.834793
1613754844576	-0.112747	-0.001083	9.832397
1613754844578	-0.139069	-0.008255	9.834793
1613754844581	-0.141464	0.001312	9.837189
1613754844583	-0.124710	-0.005859	9.844376
1613754844586	-0.124710	-0.005859	9.822830
1613754844588	-0.124710	-0.013046	9.841980
1613754844590	-0.124710	-0.008255	9.834793
1613754844593	-0.139069	-0.008255	9.815659
1613754844595	-0.127106	-0.001083	9.832397
1613754844597	-0.112747	0.001312	9.849152
1613754844600	-0.119934	-0.010651	9.837189
1613754844602	-0.139069	0.022858	9.827621
