TStamp	X	Y	Z
1613754844380	0.000290	0.001663	0.001266
1613754844382	0.001495	0.001663	0.000061
1613754844385	-0.002167	-0.000778	-0.002380
1613754844387	0.003937	0.004089	-0.001175
1613754844389	-0.005829	0.002869	-0.001175
1613754844392	0.002731	0.005325	0.001266
1613754844394	0.000290	0.004089	-0.001175
1613754844396	0.000290	0.005325	0.000061
1613754844399	0.006393	0.005325	0.002502
1613754844401	0.005173	0.002869	0.003708
1613754844404	0.002731	0.001663	0.000061
1613754844406	-0.002167	0.001663	-0.001175
1613754844408	-0.000946	0.000427	0.001266
1613754844411	0.000290	0.000427	0.000061
1613754844413	-0.002167	0.000427	-0.001175
1613754844415	-0.000946	0.000427	0.000061
1613754844418	0.000290	0.000427	0.000061
1613754844420	0.003937	0.002869	0.002502
1613754844423	-0.000946	0.000427	0.000061
1613754844425	0.003937	0.001663	0.000061
1613754844427	-0.000946	-0.000778	-0.001175
1613754844430	-0.002167	-0.000778	-0.002380
1613754844432	0.000290	0.000427	-0.001175
1613754844434	0.000290	0.001663	0.000061
1613754844437	-0.002167	-0.000778	-0.001175
1613754844439	0.000290	0.002869	0.000061
1613754844442	0.001495	0.001663	0.001266
1613754844444	-0.000946	0.000427	0.000061
1613754844446	-0.000946	0.001663	0.000061
1613754844449	0.001495	0.001663	0.000061
1613754844451	0.000290	0.000427	0.001266
1613754844454	0.001495	0.001663	0.001266
1613754844456	0.000290	0.001663	0.001266
1613754844458	0.001495	0.001663	0.002502
1613754844461	0.000290	0.000427	0.001266
1613754844463	-0.002167	-0.002014	0.000061
1613754844465	0.001495	0.001663	0.001266
1613754844468	-0.000946	-0.000778	0.000061
1613754844470	0.001495	0.001663	0.001266
1613754844473	0.000290	-0.002014	-0.001175
1613754844475	-0.002167	-0.000778	-0.001175
1613754844477	-0.000946	-0.000778	0.000061
1613754844480	0.000290	0.000427	0.002502
1613754844482	0.001495	0.002869	0.000061
1613754844484	0.001495	0.002869	0.001266
1613754844487	0.001495	0.002869	0.001266
1613754844489	-0.002167	-0.000778	-0.001175
1613754844492	0.000290	0.000427	0.000061
1613754844494	0.001495	0.000427	0.000061
1613754844496	-0.000946	-0.000778	0.000061
1613754844499	0.001495	0.001663	0.000061
