0   (-597.0, [(array([-0.6, 18. ]), array([0.3, 0.3])), 4, -0.6632251157578446])
1   (-595.0, [(array([-0.6, 18.3]), array([0.3, 0.3])), 4, -0.6632251157578446])
2   (-514.0, [(array([-0.6, 18.6]), array([0.3, 0.3])), 4, -0.6632251157578446])
3   (-507.0, [(array([-0.3, 18.3]), array([0.3, 0.3])), 4, -0.6632251157578446])
4   (-499.0, [(array([-0.3, 18. ]), array([0.3, 0.3])), 4, -0.6632251157578446])
5   (-546.0, [(array([-1.8, 15.6]), array([0.3, 0.3])), 4, -0.5585053606381847])
6   (-473.0, [(array([-1.5, 15.6]), array([0.3, 0.3])), 4, -0.5585053606381847])
7   (-571.0, [(array([-1.8, 15.3]), array([0.3, 0.3])), 4, -0.5585053606381847])
8   (-493.0, [(array([-1.8, 15. ]), array([0.3, 0.3])), 4, -0.5585053606381847])
9   (-493.0, [(array([-1.5, 15.3]), array([0.3, 0.3])), 4, -0.5585053606381847])
10   (-459.0, [(array([-0.9, 18. ]), array([0.3, 0.3])), 4, -0.6632251157578446])
11   (-456.0, [(array([-2.1, 15.3]), array([0.3, 0.3])), 4, -0.5585053606381847])
12   (-454.0, [(array([-0.9, 18.3]), array([0.3, 0.3])), 4, -0.6632251157578446])
13   (-453.0, [(array([4.21884749e-15, 1.92000000e+01]), array([0.3, 0.3])), 4, -0.6981317007977312])
14   (-450.0, [(array([4.21884749e-15, 1.89000000e+01]), array([0.3, 0.3])), 4, -0.6981317007977312])
15   (-731.0, [(array([-1.2, 16.2]), array([0.3, 0.3])), 4, -0.5934119456780713])
16   (-694.0, [(array([-1.2, 16.5]), array([0.3, 0.3])), 4, -0.5934119456780713])
17   (-503.0, [(array([-0.9, 16.2]), array([0.3, 0.3])), 4, -0.5934119456780713])
18   (-466.0, [(array([-0.9, 16.5]), array([0.3, 0.3])), 4, -0.5934119456780713])
19   (-456, [(array([-1.2, 16.5]), array([0.15, 0.15])), 5, -0.5934119456780713])
